Longitude	Latitude	[ (   erf { [ ( { [ ( { erfinv unnamed } * { IRI FD Flexible_Forecast precipitation clim_stddev } ) * 1.4142 ] + [ IRI FD Flexible_Forecast precipitation clim_mean ] } - { IRI FD Flexible_Forecast precipitation fcst_mean } ) / ( IRI FD Flexible_Forecast precipitation fcst_stddev ) ] / 1.4142 }   * -1. ) + 1. ] / 2.
degree_east	degree_north	unitless
   -66.25000    	   -41.25000    	   0.1315850    
   -63.75000    	   -41.25000    	   0.1272725    
   -61.25000    	   -41.25000    	   0.1089750    
   -66.25000    	   -38.75000    	   0.1255274    
   -63.75000    	   -38.75000    	   0.1157136    
   -61.25000    	   -38.75000    	   0.1244246    
   -58.75000    	   -38.75000    	   0.1265255    
   -56.25000    	   -38.75000    	   0.1163453    
   -66.25000    	   -36.25000    	   0.1163456    
   -63.75000    	   -36.25000    	   0.1223615    
   -61.25000    	   -36.25000    	   0.1240697    
   -58.75000    	   -36.25000    	   0.1181564    
   -56.25000    	   -36.25000    	   0.1250467    
   -53.75000    	   -36.25000    	   0.1132518    
   -66.25000    	   -33.75000    	   0.1129275    
   -63.75000    	   -33.75000    	   0.1138060    
   -61.25000    	   -33.75000    	   0.1110713    
   -58.75000    	   -33.75000    	   0.1187184    
   -56.25000    	   -33.75000    	   0.1125309    
   -53.75000    	   -33.75000    	   0.1373552    
   -66.25000    	   -31.25000    	   0.1164429    
   -63.75000    	   -31.25000    	   9.9168032E-02
   -61.25000    	   -31.25000    	   0.2026317    
   -58.75000    	   -31.25000    	   0.3119264    
   -56.25000    	   -31.25000    	   0.3340039    
   -53.75000    	   -31.25000    	   0.3421539    
   -51.25000    	   -31.25000    	   0.2149847    
   -66.25000    	   -28.75000    	   0.1156459    
   -63.75000    	   -28.75000    	   0.1059984    
   -61.25000    	   -28.75000    	   0.2954070    
   -58.75000    	   -28.75000    	   0.4350983    
   -56.25000    	   -28.75000    	   0.4728318    
   -53.75000    	   -28.75000    	   0.3402258    
   -51.25000    	   -28.75000    	   0.2068006    
   -48.75000    	   -28.75000    	   0.1343399    
   -66.25000    	   -26.25000    	   0.1090651    
   -63.75000    	   -26.25000    	   0.1089413    
   -61.25000    	   -26.25000    	   0.1091211    
   -58.75000    	   -26.25000    	   0.2298931    
   -56.25000    	   -26.25000    	   0.2070651    
   -53.75000    	   -26.25000    	   0.1530686    
   -51.25000    	   -26.25000    	   0.1280408    
   -48.75000    	   -26.25000    	   0.1435614    
   -66.25000    	   -23.75000    	   0.1110440    
   -63.75000    	   -23.75000    	   0.1103511    
   -61.25000    	   -23.75000    	   0.1064157    
   -58.75000    	   -23.75000    	   0.1086526    
   -56.25000    	   -23.75000    	   0.1162409    
   -53.75000    	   -23.75000    	   0.1321933    
   -51.25000    	   -23.75000    	   0.1208624    
   -48.75000    	   -23.75000    	   0.1287924    
   -66.25000    	   -21.25000    	   0.1137110    
   -63.75000    	   -21.25000    	   0.1049954    
   -61.25000    	   -21.25000    	   0.1009093    
   -58.75000    	   -21.25000    	   0.1111746    
   -56.25000    	   -21.25000    	   0.1199867    
   -53.75000    	   -21.25000    	   0.1261435    
   -51.25000    	   -21.25000    	   0.1264748    
   -48.75000    	   -21.25000    	   0.1408827    
   -66.25000    	   -18.75000    	   0.1159346    
   -63.75000    	   -18.75000    	   8.9906275E-02
   -61.25000    	   -18.75000    	   9.3394667E-02
   -58.75000    	   -18.75000    	   0.1267125    
   -56.25000    	   -18.75000    	   0.1231281    
   -53.75000    	   -18.75000    	   0.1274163    
   -51.25000    	   -18.75000    	   0.1423299    
   -48.75000    	   -18.75000    	   0.1615279    
   -66.25000    	   -16.25000    	   0.1409754    
   -63.75000    	   -16.25000    	   0.1063008    
   -61.25000    	   -16.25000    	   9.0647399E-02
   -58.75000    	   -16.25000    	   0.1067322    
   -56.25000    	   -16.25000    	   0.1248582    
   -53.75000    	   -16.25000    	   0.1282308    
   -51.25000    	   -16.25000    	   0.1758492    
   -48.75000    	   -16.25000    	   0.1798665    
